"","EXPERIMENTAL_UNIT","DDT","plant","INCIDENCIA","SEVERIDAD","planta","TRATAMIENTO"
"1","1",12,"DDI",0,0,1,"50 % Si"
"2","1",12,"DDI",0,0,2,"50 % Si"
"3","1",12,"DDI",0,0,3,"50 % Si"
"4","1",12,"DDI",0,0,4,"50 % Si"
"5","1",12,"DDI",0,0,5,"50 % Si"
"6","1",12,"DDI",0,0,6,"50 % Si"
"7","1",12,"DDI",0,0,7,"50 % Si"
"8","1",12,"DDI",0,0,8,"50 % Si"
"9","1",12,"DDI",0,0,9,"50 % Si"
"10","1",12,"DDI",0,0,10,"50 % Si"
"11","1",12,"DDI",0,0,1,"150 % OR"
"12","1",12,"DDI",1,3,2,"150 % OR"
"13","1",12,"DDI",1,3,3,"150 % OR"
"14","1",12,"DDI",0,0,4,"150 % OR"
"15","1",12,"DDI",0,0,5,"150 % OR"
"16","1",12,"DDI",0,0,6,"150 % OR"
"17","1",12,"DDI",0,0,7,"150 % OR"
"18","1",12,"DDI",0,0,1,"CERO F"
"19","1",12,"DDI",0,0,2,"CERO F"
"20","1",12,"DDI",0,0,3,"CERO F"
"21","1",12,"DDI",0,0,4,"CERO F"
"22","1",12,"DDI",0,0,5,"CERO F"
"23","1",12,"DDI",0,0,6,"CERO F"
"24","1",12,"DDI",0,0,7,"CERO F"
"25","1",12,"DDI",0,0,1,"100 % Si"
"26","1",12,"DDI",0,0,2,"100 % Si"
"27","1",12,"DDI",0,0,3,"100 % Si"
"28","1",12,"DDI",0,0,4,"100 % Si"
"29","1",12,"DDI",0,0,5,"100 % Si"
"30","1",12,"DDI",1,1,6,"100 % Si"
"31","1",12,"DDI",0,0,7,"100 % Si"
"32","1",12,"DDI",0,0,1,"50 % OR"
"33","1",12,"DDI",0,0,2,"50 % OR"
"34","1",12,"DDI",0,0,3,"50 % OR"
"35","1",12,"DDI",0,0,4,"50 % OR"
"36","1",12,"DDI",0,0,5,"50 % OR"
"37","1",12,"DDI",0,0,6,"50 % OR"
"38","1",12,"DDI",0,0,7,"50 % OR"
"39","1",12,"DDI",1,1,8,"50 % OR"
"40","1",12,"DDI",0,0,1,"100 % OR"
"41","1",12,"DDI",0,0,2,"100 % OR"
"42","1",12,"DDI",0,0,3,"100 % OR"
"43","1",12,"DDI",0,0,4,"100 % OR"
"44","1",12,"DDI",0,0,5,"100 % OR"
"45","1",12,"DDI",0,0,6,"100 % OR"
"46","1",12,"DDI",1,2,7,"100 % OR"
"47","1",12,"DDI",0,0,1,"150 % Si"
"48","1",12,"DDI",0,0,2,"150 % Si"
"49","1",12,"DDI",0,0,3,"150 % Si"
"50","1",12,"DDI",0,0,4,"150 % Si"
"51","1",12,"DDI",0,0,5,"150 % Si"
"52","1",12,"DDI",1,1,6,"150 % Si"
"53","1",12,"DDI",0,0,7,"150 % Si"
"54","2",12,"DDI",0,0,1,"50 % Si"
"55","2",12,"DDI",1,1,2,"50 % Si"
"56","2",12,"DDI",0,0,3,"50 % Si"
"57","2",12,"DDI",0,0,4,"50 % Si"
"58","2",12,"DDI",0,0,5,"50 % Si"
"59","2",12,"DDI",0,0,6,"50 % Si"
"60","2",12,"DDI",0,0,7,"50 % Si"
"61","2",12,"DDI",0,0,1,"150 % OR"
"62","2",12,"DDI",1,3,2,"150 % OR"
"63","2",12,"DDI",0,0,3,"150 % OR"
"64","2",12,"DDI",0,0,4,"150 % OR"
"65","2",12,"DDI",0,0,5,"150 % OR"
"66","2",12,"DDI",0,0,6,"150 % OR"
"67","2",12,"DDI",0,0,7,"150 % OR"
"68","2",12,"DDI",0,0,1,"CERO F"
"69","2",12,"DDI",0,0,2,"CERO F"
"70","2",12,"DDI",0,0,3,"CERO F"
"71","2",12,"DDI",0,0,4,"CERO F"
"72","2",12,"DDI",0,0,5,"CERO F"
"73","2",12,"DDI",0,0,6,"CERO F"
"74","2",12,"DDI",0,0,7,"CERO F"
"75","2",12,"DDI",0,0,1,"100 % Si"
"76","2",12,"DDI",0,0,2,"100 % Si"
"77","2",12,"DDI",0,0,3,"100 % Si"
"78","2",12,"DDI",0,0,4,"100 % Si"
"79","2",12,"DDI",0,0,5,"100 % Si"
"80","2",12,"DDI",1,1,6,"100 % Si"
"81","2",12,"DDI",0,0,7,"100 % Si"
"82","2",12,"DDI",0,0,1,"50 % OR"
"83","2",12,"DDI",0,0,2,"50 % OR"
"84","2",12,"DDI",0,0,3,"50 % OR"
"85","2",12,"DDI",0,0,4,"50 % OR"
"86","2",12,"DDI",0,0,5,"50 % OR"
"87","2",12,"DDI",0,0,6,"50 % OR"
"88","2",12,"DDI",0,0,7,"50 % OR"
"89","2",12,"DDI",0,0,8,"50 % OR"
"90","2",12,"DDI",0,0,9,"50 % OR"
"91","2",12,"DDI",0,0,1,"100 % OR"
"92","2",12,"DDI",0,0,2,"100 % OR"
"93","2",12,"DDI",0,0,3,"100 % OR"
"94","2",12,"DDI",0,0,4,"100 % OR"
"95","2",12,"DDI",0,0,5,"100 % OR"
"96","2",12,"DDI",0,0,6,"100 % OR"
"97","2",12,"DDI",0,0,7,"100 % OR"
"98","2",12,"DDI",0,0,1,"150 % Si"
"99","2",12,"DDI",1,3,2,"150 % Si"
"100","2",12,"DDI",0,0,3,"150 % Si"
"101","2",12,"DDI",1,1,4,"150 % Si"
"102","2",12,"DDI",0,0,5,"150 % Si"
"103","2",12,"DDI",0,0,6,"150 % Si"
"104","2",12,"DDI",0,0,7,"150 % Si"
"105","3",12,"DDI",0,0,1,"50 % Si"
"106","3",12,"DDI",0,0,2,"50 % Si"
"107","3",12,"DDI",0,0,3,"50 % Si"
"108","3",12,"DDI",0,0,4,"50 % Si"
"109","3",12,"DDI",0,0,5,"50 % Si"
"110","3",12,"DDI",0,0,6,"50 % Si"
"111","3",12,"DDI",0,0,1,"150 % OR"
"112","3",12,"DDI",0,0,2,"150 % OR"
"113","3",12,"DDI",0,0,3,"150 % OR"
"114","3",12,"DDI",0,0,4,"150 % OR"
"115","3",12,"DDI",0,0,5,"150 % OR"
"116","3",12,"DDI",0,0,6,"150 % OR"
"117","3",12,"DDI",0,0,7,"150 % OR"
"118","3",12,"DDI",0,0,1,"CERO F"
"119","3",12,"DDI",0,0,2,"CERO F"
"120","3",12,"DDI",0,0,3,"CERO F"
"121","3",12,"DDI",0,0,4,"CERO F"
"122","3",12,"DDI",0,0,5,"CERO F"
"123","3",12,"DDI",0,0,6,"CERO F"
"124","3",12,"DDI",0,0,1,"100 % Si"
"125","3",12,"DDI",0,0,2,"100 % Si"
"126","3",12,"DDI",0,0,3,"100 % Si"
